"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"J2";"JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal";1;"Conn_01x03";;;
2;"Antenna";"eTprox_Pad_1x01";1;"Conn_01x01";;;
3;"RV1";"Potentiometer_Vishay_TS53YJ_Vertical";1;"10K";;;
4;"J1";"eTprox_Pad_1x03";1;"Conn_01x03";;;
5;"U1";"SOT-23-6_Handsoldering";1;"MTCH101";;;
6;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
7;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1µF";;;
8;"R7,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4.7K";;;
9;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1K";;;
10;"R5,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10K";;;
